HstNummer;Name ohne Ort;Ort;Globale ID;WGS84 X;;WGS84 Y
5630;Frohnloh;Krailling;de:09188:5630;48,0818678136734;;11,329033337147
5631;Hauptstraße;Unterbrunn (Kr STA);de:09188:5631;48,0673284077412;;11,3234256721728
5632;Feuerwehr;Unterbrunn (Kr STA);de:09188:5632;48,0663918077735;;11,3247394412577
5634;Heimgartenstraße;Starnberg;de:09188:5634;48,0146675045973;;11,330508043959
5635;Auersberg;Söcking (Kr STA);de:09188:5635;48,0032192470764;;11,3244647186595
5636;Hausen;Hausen (b Gauting);de:09188:5636;48,0427371295977;;11,3306141256379
5638;Königswiesen;Königswiesen/Gauting;de:09188:5638;48,056229373555;;11,3626084113968
5640;Magdalenenstraße;Gauting;de:09188:5640;48,0620693383412;;11,3746514331673
5641;Pippinplatz;Gauting;de:09188:5641;48,0718064730728;;11,3757815457719
5646;Max-Dingler-Straße;Stockdorf;de:09188:5646;48,0842324496866;;11,4005698028313
5647;Gautinger Straße;Stockdorf;de:09188:5647;48,0874686678678;;11,4037537650196
5648;Baierplatz;Stockdorf;de:09188:5648;48,0912191255224;;11,4072678181497
5649;Harmsplatz;Stockdorf;de:09188:5649;48,0923399003899;;11,4048654252921
5650;Germeringer Straße;Krailling;de:09188:5650;48,0968710383573;;11,3724174879307
5654;Mörlbach;Mörlbach (Oberbay);de:09188:5654;47,9644138035085;;11,4063349081065
5655;Wieling West;Wieling;de:09188:5655;47,9544023796586;;11,2673290545056
5656;Gymnasium;Gilching;de:09188:5656;48,1052054297394;;11,2870906858928
5657;Waldsiedlung;Hochstadt (Oberbay);de:09188:5657;48,0655337029583;;11,2640370954208
5658;Am Kirchplatz;Feldafing;de:09188:5658;47,9503734552504;;11,2976283757616
5659;Traubinger Straße;Feldafing;de:09188:5659;47,9453830542437;;11,28613022518
5660;Artemed;Feldafing;de:09188:5660;47,9378709462389;;11,2944916659737
5661;Koempelstraße;Feldafing;de:09188:5661;47,9420600759202;;11,2854397434042
5662;Klenzestraße;Tutzing;de:09188:5662;47,9191474185235;;11,2874408632983
5663;Neustätterstraße;Tutzing;de:09188:5663;47,9120867379936;;11,2815712892705
5664;Rathaus;Tutzing;de:09188:5664;47,910512264182;;11,2771785739635
5665;Benediktenweg;Tutzing;de:09188:5665;47,9143309806249;;11,2751722148432
5666;Bergwiesenstraße;Tutzing;de:09188:5666;47,9163080880973;;11,2749305644505
5667;Luswiese;Tutzing;de:09188:5667;47,9183956822257;;11,2736705269481
5668;Kreuzeckstraße;Tutzing;de:09188:5668;47,9157513500289;;11,2708043513014
5669;Heimgartenstraße;Tutzing;de:09188:5669;47,9152502564144;;11,2683765056616
5670;Betriebshof;Starnberg;de:09188:5670;48,0177262723489;;11,3275864176941
5671;Bahnhofstraße;Feldafing;de:09188:5671;47,9490552182113;;11,2953168530893
5672;Kirchenstraße;Tutzing;de:09188:5672;47,9084858093894;;11,2767252061554
5673;Eugen-Friedl-Straße;Feldafing;de:09188:5673;47,9446954632544;;11,2883751564232
5674;Seewiesstraße;Feldafing;de:09188:5674;47,9449853479831;;11,287260131874
5675;Edelweißstraße;Feldafing;de:09188:5675;47,9439651822511;;11,2808623134732
5676;Birkenallee;Seefeld (Oberbay);de:09188:5676;48,030743082874;;11,2054148067817
5677;Günteringer Straße;Hechendorf a.Pilsens;de:09188:5677;48,0393002672505;;11,1918325157808
5678;Wörthseestraße;Hechendorf a.Pilsens;de:09188:5678;48,04691943924;;11,1806212237834
5679;Seeleite;Steinebach(Wörthsee);de:09188:5679;48,0528274508815;;11,1868456044748
5680;Taubenweg;Steinebach(Wörthsee);de:09188:5680;48,0603786740885;;11,1953130520245
5681;Birkenweg;Steinebach(Wörthsee);de:09188:5681;48,0631252627442;;11,1983963824928
5682;Max-Doerner-Weg;Weßling;de:09188:5682;48,0723158649324;;11,2461466934151
5683;Meilinger Weg;Oberalting;de:09188:5683;48,0378610691012;;11,2191313591069
5686;Bräuhausstraße;Tutzing;de:09188:5686;47,906962510373;;11,2747667156224
5688;Kellerwiese;Tutzing;de:09188:5688;47,9009104689973;;11,2649805999025
5689;Dreisbuschstraße;Tutzing;de:09188:5689;47,8984013171029;;11,2664069957842
