id,lat,lon
2927.EG.015,48.88481787504881,12.58318467595538
3401.U1.001A,48.14096995291692,11.578012994788025
4102.EG.036,48.395561413789636,11.728015687957155
4124.U1.001,48.39775117574732,11.72472752954934
4124.U1.001A,48.39759192223783,11.724121497669527
4124.U1.104,48.39769995508382,11.72454974697456
4126.01.609B,48.39792,11.725356
4212.EG.259,48.39877915665363,11.726487160269613
4213.01.318,48.39808719258562,11.723354298809666
4213.EG.302,48.3987066806973,11.72346983322015
4213.EG.308,48.39817376631794,11.723215084453216
4214.EG.010,48.399781972425956,11.72388144163159
4214.EG.020,48.39993211254901,11.724012116873325
4214.EG.030,48.39996940257893,11.724423970540784
4217.EG.014,48.39950148501188,11.721287197021129
4217.EG.041,48.399847099036634,11.721734070498826
4218.02.212,48.39977941171915,11.720712219480989
4218.02.214B,48.3998105818435,11.720794198234131
4219.01.015,48.400420225672235,11.720309697947243
4219.01.017,48.400327778222504,11.720497382768684
4219.01.020,48.40025246619942,11.720313987005795
4219.EG.042,48.40024838068251,11.719935529783127
4219.U1.003,48.40050481239357,11.720152788683237
4220.01.109,48.39859048287411,11.722944762004886
4220.01.119,48.398837,11.723082
4220.EG.101,48.398319498270155,11.722944473347413
4220.EG.112,48.39890573658795,11.723094479201166
4234.EG.526,48.40543445335916,11.690294612281406
4277.EG.040,48.40023828367261,11.717038120715003
4277.EG.124,48.40047165213548,11.718012030676192
4277.EG.125,48.40046463002429,11.718017597224986
4277.EG.127,48.40034064552995,11.71789572095986
4277.EG.128,48.400350472721925,11.717966165017202
4277.EG.129,48.40029237833636,11.718278500654804
4304.01.028,48.40395939397399,11.723497935385666
4304.01.039,48.40400871305914,11.722969666423097
4308.EG.112,48.402295362374446,11.72496749201622
4317.EG.003,48.40168,11.723254
5101.EG.250,48.266996092622534,11.675836354009359
5101.U1.172,48.26699321948698,11.676648541975567
5101.U1.182,48.26693616690903,11.676635204896229
5115.EG.001,48.2682912517717,11.676533535511851
5123.EG.019,48.26893477382427,11.67361879534522
5125,48.26931482616613,11.673760277160966
5203.EG.003,48.265112,11.673548
5203.EG.006,48.265163299386955,11.673429787755964
5203.EG.007,48.265063,11.673524
5203.EG.011,48.265024,11.673513
5203.EG.013,48.264988,11.673505
5203.EG.040,48.265237,11.673175
5203.EG.040A,48.265137,11.673156
5203.EG.044,48.265296,11.673188
5203.EG.050,48.265287,11.673253
5203.EG.052,48.265281,11.673325
5203.EG.054,48.265271,11.673392
5203.EG.065,48.265374,11.673145
5203.EG.069,48.265374,11.67321
5203.EG.073,48.265362,11.673269
5203.EG.075,48.26536,11.673325
5204.01.005,48.26469792155848,11.674041725690415
5204.EG.014,48.26477605314486,11.673158929275786
5401.01.101I,48.26848942680596,11.669347067837776
5401.01.101K,48.26835151038014,11.669159710780747
5401.EG.114K,48.26857073909346,11.668783675476334
5402.01.200A,48.26842988210362,11.669598368797551
5402.01.200B,48.26849237071721,11.669619826468505
5402.01.200C,48.268428096713535,11.669823674354802
5402.01.200D,48.26847094605844,11.669853178653796
5402.01.200J,48.26846023372545,11.6696171442602
5402.01.200N,48.2684530921689,11.669611779842086
5402.01.201B,48.268294192280536,11.669764665755224
5402.01.201F,48.268335256343846,11.669587639961208
5402.01.201H,48.26832632937666,11.669770030173368
5402.01.210B,48.268410242809495,11.669845132025785
5402.01.210C,48.26840667202785,11.669874636324806
5402.01.210F,48.26839238889926,11.669922916088069
5402.01.210G,48.26838346194151,11.67002484002964
5402.01.220A,48.26853700539405,11.669662741813653
5402.01.220J,48.26856381110494,11.669667664979613
5402.01.221A,48.26860485002831,11.6698504964439
5402.01.221K,48.268668,11.669672
5402.01.240A,48.268322758589164,11.669568864498501
5402.01.240B,48.26830133385931,11.669775394591483
5402.01.240C,48.268245986598714,11.669550089034232
5402.01.240D,48.26822277643939,11.669740525874374
5402.02.210J,48.26834548962435,11.670061998309478
5402.05.210B,48.26843523827358,11.669914869460058
5402.05.230A,48.26839908361788,11.66958104237736
5402.05.240B,48.26836340194538,11.66961386440812
5402.05.240C,48.26829123527892,11.66973432754807
5402.05.240D,48.26827534699305,11.669589175880105
5402.05.240E,48.26816845308474,11.669727934385804
5402.05.240F,48.268225549760956,11.669568870339305
5402.EG.230D,48.268303234884115,11.669377036801848
5402.EG.240A,48.268307850877505,11.669562987904897
5402.EG.240J,48.26817627656379,11.669536970843978
5403.01.300A,48.26836561802591,11.670383475764453
5403.01.300B,48.26836383263358,11.670375429136442
5403.01.300C,48.26838525733723,11.670378111346338
5403.01.300D,48.268379901162035,11.670383475764453
5403.01.300G,48.26839061351106,11.67060609911033
5403.01.310A,48.26832633938022,11.6706248745746
5403.01.310D,48.26830670004631,11.670694612008873
5403.01.310E,48.26830670004631,11.67074825619028
