org_id,code,name,path
45840,TUZEB10,Datenschutzbevollmächtigte/r Zentralinstitut für Katalyseforschung (CRC),TUM/Wissenschaftliche Zentralinstitute/Zentralinstitut für Katalyseforschung (CRC)/Datenschutzbevollmächtigte/r
45841,TUZEB11,Datenschutzbevollmächtigte/r Zentralinstitut für Physikalische Grundlagen d. Halbleiterelektronik - Walter Schottky Institut (WSI),TUM/Wissenschaftliche Zentralinstitute/Zentralinstitut für Physikalische Grundlagen d. Halbleiterelektronik - Walter Schottky Institut (WSI)/Datenschutzbevollmächtigte/r
45851,TUPEFAS,Fachausschüsse,TUM/Partnerschaftliche Einrichtungen/Fachausschüsse
45872,TUPRBE7,Beauftragter für Markenpolitik und Corporate Design,TUM/Hochschulpräsidium/Beauftragte und Bevollmächtigte des Präsidenten/Beauftragte des Präsidenten/Beauftragter für Markenpolitik und Corporate Design
45891,TUWZP3C,TUM Forschungslaboratorium Holz,TUM/Schools/Life Sciences/TUM Forschungslaboratorium Holz
45911,TUZEBDB,Datenschutzbevollmächtigter Universitätsbibliothek,TUM/Zentrale Serviceeinrichtungen/Universitätsbibliothek/Datenschutzbevollmächtigter
45931,TUVBPDB,Datenschutzbevollmächtigter Gesamtpersonalrat,TUM/Beauftragte und Vertretungen/Personalvertretungen/Gesamtpersonalrat/Datenschutzbevollmächtigter
45951,TUMWLWE,Lehrstuhl für Windenergie (Prof. Bottasso),TUM/Schools/Engineering and Design/Departments/Energy and Process Engineering/Windenergie (Prof. Bottasso)
45971,TUZVR87,Baumanagement Weihenstephan (ZA 4),TUM/Zentrale Verwaltung/Immobilien (ZA 4)/Standort Weihenstephan (ZA 4)/Baumanagement Weihenstephan (ZA 4)
45991,TUGSCRE,Graduiertenschule Campus for Research Excellence and Technological Enterprise (TUM CREATE),TUM/TUM Graduate School/Graduiertenzentren/Campus for Research Excellence and Technological Enterprise (TUM CREATE)
46012,TUZEE24,Halbleiter-Nanostrukturen und-Quantensysteme (Prof. Finley),TUM/Wissenschaftliche Zentralinstitute/Zentralinstitut für Physikalische Grundlagen d. Halbleiterelektronik - Walter Schottky Institut (WSI)/Halbleiter-Nanostrukturen und-Quantensysteme (Prof. Finley)
46031,TUMEZN0,Institut für Zellbiologie des Nervensystems (Prof. Misgeld),TUM/Schools/Medicine and Health/Departments/Preclinical Medicine/Institut für Zellbiologie des Nervensystems (Prof. Misgeld)
46071,TUZVWEB,Web Communications (Internet),TUM/Hochschulreferate/Corporate Communications Center/Web Communications (Internet)
